*******************************************************************************
 Revised: June 21, 2016                 Mars                            499 / 4
 
 PHYSICAL DATA (updated 2019-Oct-29):
  Vol. mean radius (km) = 3389.92+-0.04   Density (g/cm^3)      =  3.933(5+-4)
  Mass x10^23 (kg)      =    6.4171       Flattening, f         =  1/169.779
  Volume (x10^10 km^3)  =   16.318        Equatorial radius (km)=  3396.19
  Sidereal rot. period  =   24.622962 hr  Sid. rot. rate, rad/s =  0.0000708822 
  Mean solar day (sol)  =   88775.24415 s Polar gravity m/s^2   =  3.758
  Core radius (km)      = ~1700           Equ. gravity  m/s^2   =  3.71
  Geometric Albedo      =    0.150                                              

  GM (km^3/s^2)         = 42828.375214    Mass ratio (Sun/Mars) = 3098703.59
  GM 1-sigma (km^3/s^2) = +- 0.00028      Mass of atmosphere, kg= ~ 2.5 x 10^16
  Mean temperature (K)  =  210            Atmos. pressure (bar) =    0.0056 
  Obliquity to orbit    =   25.19 deg     Max. angular diam.    =  17.9"
  Mean sidereal orb per =    1.88081578 y Visual mag. V(1,0)    =  -1.52
  Mean sidereal orb per =  686.98 d       Orbital speed,  km/s  =  24.13
  Hill's sphere rad. Rp =  319.8          Escape speed, km/s    =   5.027
                                 Perihelion  Aphelion    Mean
  Solar Constant (W/m^2)         717         493         589
  Maximum Planetary IR (W/m^2)   470         315         390
  Minimum Planetary IR (W/m^2)    30          30          30
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Fri Oct 23 10:54:29 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Mars (499)                      {source: mar097}
Center body name: Sun (10)                        {source: mar097}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2035-Jul-01 00:00:00.0000 TDB
Stop  time      : A.D. 2035-Nov-01 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2464509.500000000, A.D. 2035-Jul-01 00:00:00.0000,  7.795765031315610E-01, -1.162049483035190E+00, -4.346009376872196E-02,  1.214792354196821E-02,  8.996444666691826E-03, -1.090851253101325E-04,
2464510.500000000, A.D. 2035-Jul-02 00:00:00.0000,  7.916821497653105E-01, -1.152990510490256E+00, -4.356683224090666E-02,  1.206313100706823E-02,  9.121368438175223E-03, -1.043887503141499E-04,
2464511.500000000, A.D. 2035-Jul-03 00:00:00.0000,  8.037022888335142E-01, -1.143807013374592E+00, -4.366886518948045E-02,  1.197690961349247E-02,  9.245490628280386E-03, -9.967416309936275E-05,
2464512.500000000, A.D. 2035-Jul-04 00:00:00.0000,  8.156354952122677E-01, -1.134499802852184E+00, -4.376617469816933E-02,  1.188926687762850E-02,  9.368792063707781E-03, -9.494195545974130E-05,
2464513.500000000, A.D. 2035-Jul-05 00:00:00.0000,  8.274803514401845E-01, -1.125069709225244E+00, -4.385874344006709E-02,  1.180021062776176E-02,  9.491253637031068E-03, -9.019272390170383E-05,
2464514.500000000, A.D. 2035-Jul-06 00:00:00.0000,  8.392354480336174E-01, -1.115517581872153E+00, -4.394655468434966E-02,  1.170974899853873E-02,  9.612856316020645E-03, -8.542706670793992E-05,
2464515.500000000, A.D. 2035-Jul-07 00:00:00.0000,  8.508993838008148E-01, -1.105844289179901E+00, -4.402959230238037E-02,  1.161789043136063E-02,  9.733581141499987E-03, -8.064558458011791E-05,
2464516.500000000, A.D. 2035-Jul-08 00:00:00.0000,  8.624707661550584E-01, -1.096050718469741E+00, -4.410784077330190E-02,  1.152464368034596E-02,  9.853409220981551E-03, -7.584888429954941E-05,
2464517.500000000, A.D. 2035-Jul-09 00:00:00.0000,  8.739482114281174E-01, -1.086137775915488E+00, -4.418128518978053E-02,  1.143001781692642E-02,  9.972321733841612E-03, -7.103758113474742E-05,
2464518.500000000, A.D. 2035-Jul-10 00:00:00.0000,  8.853303451843694E-01, -1.076106386455278E+00, -4.424991126416732E-02,  1.133402222974999E-02,  1.009029994808105E-02, -6.621229839678433E-05,
2464519.500000000, A.D. 2035-Jul-11 00:00:00.0000,  8.966158025342397E-01, -1.065957493697732E+00, -4.431370533457044E-02,  1.123666662437797E-02,  1.020732523677019E-02, -6.137366689873399E-05,
